# Name	Latitude	Longitude	X (meters)	Y (meters)	Used in LWA-352?
LWA-209	37.239803110	-118.282222600	-49.33	2.87	YES
LWA-210	37.239756390	-118.282183700	-45.87	-2.32	YES
LWA-211	37.239665610	-118.282201000	-47.41	-12.39	YES
LWA-212	37.239611370	-118.282133100	-41.38	-18.41	YES
LWA-213	37.239601160	-118.282326200	-58.52	-19.55	YES
LWA-214	37.239557110	-118.282249300	-51.70	-24.43	YES
LWA-215	37.239550730	-118.282114200	-39.71	-25.14	YES
LWA-216	37.239450670	-118.282173900	-45.01	-36.25	YES
LWA-217	37.239426040	-118.282225700	-49.60	-38.98	YES
LWA-218	37.239398580	-118.282106300	-39.01	-42.03	YES
LWA-219	37.239388010	-118.282308400	-56.94	-43.20	YES
LWA-220	37.239279500	-118.282232000	-50.16	-55.24	YES
LWA-221	37.239154070	-118.282270200	-53.55	-69.16	YES
LWA-222	37.239141590	-118.282149100	-42.80	-70.55	YES
LWA-223	37.239075980	-118.282356700	-61.23	-77.83	YES
LWA-224	37.239003200	-118.282186100	-46.09	-85.91	YES
LWA-225	37.240459070	-118.282500200	-73.96	75.67	YES
LWA-226	37.240305900	-118.282561900	-79.43	58.67	YES
LWA-227	37.240293150	-118.282390400	-64.21	57.25	YES
LWA-228	37.240179400	-118.282548400	-78.23	44.63	YES
LWA-229	37.240127700	-118.282503900	-74.29	38.89	YES
LWA-230	37.240106940	-118.282622800	-84.84	36.59	NO
LWA-231	37.240038480	-118.282677100	-89.65	28.99	YES
LWA-232	37.239956810	-118.282644700	-86.78	19.93	YES
LWA-233	37.239922160	-118.282390200	-64.20	16.08	YES
LWA-234	37.239847360	-118.282597100	-82.56	7.78	NO
LWA-235	37.239828810	-118.282428800	-67.62	5.72	YES
LWA-236	37.239792100	-118.282531500	-76.74	1.65	YES
LWA-237	37.239757040	-118.282706300	-92.25	-2.25	YES
LWA-238	37.239738500	-118.282378900	-63.19	-4.30	YES
LWA-239	37.239689760	-118.282401300	-65.18	-9.71	YES
LWA-240	37.239638680	-118.282740200	-95.25	-15.38	YES
LWA-241	37.239623310	-118.282478200	-72.01	-17.09	YES
LWA-242	37.239603320	-118.282576600	-80.74	-19.31	YES
LWA-243	37.239577590	-118.282622400	-84.80	-22.16	NO
LWA-244	37.239521260	-118.282438200	-68.46	-28.41	YES
LWA-245	37.239499670	-118.282776000	-98.43	-30.81	YES
LWA-246	37.239488330	-118.282657600	-87.92	-32.07	YES
LWA-247	37.239393400	-118.282584300	-81.42	-42.60	NO
LWA-248	37.239391190	-118.282514000	-75.18	-42.85	YES
LWA-249	37.239302810	-118.282585400	-81.52	-52.66	YES
LWA-250	37.239287130	-118.282443500	-68.93	-54.40	YES
LWA-251	37.239177950	-118.282470600	-71.33	-66.51	YES
LWA-252	37.242032660	-118.280683100	87.27	250.31	YES
LWA-253	37.242064330	-118.282528400	-76.46	253.83	YES
LWA-254	37.241222530	-118.284045600	-211.08	160.40	YES
LWA-255	37.239829120	-118.284653700	-265.04	5.75	YES
LWA-256	37.238415550	-118.284121000	-217.78	-151.13	YES
LWA-257	37.237452400	-118.289451600	-690.79	-258.02	YES
LWA-258	37.242835360	-118.293447600	-1045.29	339.40	YES
LWA-259	37.248099460	-118.284250600	-229.25	923.62	YES
LWA-260	37.242232620	-118.288298400	-588.42	272.50	YES
LWA-261	37.248381450	-118.280242700	126.34	954.92	YES
LWA-262	37.239054570	-118.279961700	151.29	-80.21	YES
LWA-263	37.236177010	-118.284864700	-283.78	-399.57	YES
LWA-264	37.247428000	-118.290570700	-789.98	849.10	YES
LWA-265	37.239306240	-118.285294400	-321.89	-52.28	YES
LWA-266	37.242456250	-118.284639300	-263.75	297.32	YES
LWA-267	37.243746870	-118.281771700	-9.32	440.56	YES
LWA-268	37.243119470	-118.285012200	-296.84	370.93	YES
LWA-269	37.244801780	-118.280115900	137.59	557.64	YES
LWA-270	37.239199970	-118.289282000	-675.72	-64.07	YES
LWA-271	37.246994810	-118.285442800	-335.03	801.03	YES
LWA-272	37.243500970	-118.291221100	-847.73	413.27	YES
LWA-273	37.244968750	-118.289125000	-661.74	576.17	YES
LWA-274	37.240678230	-118.280006400	147.32	99.99	YES
LWA-275	37.245588160	-118.278117300	314.92	644.91	YES
LWA-276	37.244927760	-118.287748400	-539.60	571.62	YES
LWA-277	37.245603910	-118.280272000	123.74	646.66	YES
LWA-278	37.245952830	-118.283617900	-173.12	685.38	YES
LWA-279	37.244668060	-118.277683500	353.41	542.80	YES
LWA-280	37.240032120	-118.290446300	-779.02	28.28	YES
LWA-281	37.242120130	-118.284672900	-266.74	260.02	YES
LWA-282	37.244247050	-118.283449700	-158.20	496.07	YES
LWA-283	37.237949520	-118.290565400	-789.61	-202.85	YES
LWA-284	37.240873460	-118.286459400	-425.26	121.66	YES
LWA-285	37.244579150	-118.286211800	-403.27	532.93	YES
LWA-286	37.240253420	-118.294193900	-1111.55	52.84	YES
LWA-287	37.244773650	-118.292932100	-999.53	554.51	YES
